Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_3_2M46_80C.csv	5406.44	18.00	185.68	69610	1	42880.5	0	0
SAIDA_9_2M46_110C.csv	6819.39	11.00	199.83	77147	1	41823.3	0	0
SAIDA_3_2M46_65C.csv	7173.52	20.00	193.78	76830	1	39900.5	0	0
SAIDA_10_2M46_95C.csv	6625.11	14.00	179.95	76091	1	38293.1	0	0
SAIDA_6_2M46_110C.csv	6823.46	12.00	170.94	69985	1	38681	0	0
SAIDA_1_2M46_65C.csv	6573.92	20.00	207.90	86870	1	38446.2	0	0
SAIDA_7_2M46_95C.csv	5935.38	13.00	203.42	80396	1	40451	0	0
SAIDA_10_2M46_80C.csv	5856.27	16.00	219.14	86909	1	40932.7	0	0
SAIDA_6_2M46_80C.csv	5654.40	17.00	179.50	75686	1	38851.1	0	0
SAIDA_8_2M46_95C.csv	6035.96	14.00	220.15	81661	1	42752.5	0	0
SAIDA_4_2M46_53C.csv	6988.66	27.00	189.08	71833	1	42628.2	0	0
SAIDA_1_2M46_80C.csv	7358.08	18.00	191.87	74513	1	42050.6	0	0
SAIDA_7_2M46_80C.csv	5554.11	15.00	214.20	88061	1	39304.1	0	0
SAIDA_10_2M46_53C.csv	7369.03	27.00	177.71	70340	1	39802.3	0	0
SAIDA_4_2M46_80C.csv	7121.41	18.00	191.14	73150	1	42813.1	0	0
SAIDA_3_2M46_53C.csv	7008.82	23.00	216.30	81054	1	43381.9	0	0
SAIDA_9_2M46_80C.csv	6348.50	17.00	196.43	77727	1	40033.8	0	0
SAIDA_1_2M46_110C.csv	6509.16	11.00	193.55	74310	1	41696.3	0	0
SAIDA_7_2M46_65C.csv	7242.15	21.00	190.39	78706	1	39709.1	0	0
SAIDA_5_2M46_65C.csv	6532.03	20.00	182.98	69278	1	41346.9	0	0
SAIDA_10_2M46_65C.csv	6214.89	21.00	194.41	71288	1	43276.3	0	0
SAIDA_5_2M46_110C.csv	6542.73	12.00	198.87	74482	1	42536.8	0	0
SAIDA_4_2M46_110C.csv	7217.46	12.00	166.88	70022	1	38826.5	0	0
SAIDA_2_2M46_80C.csv	6528.52	17.00	182.60	72951	1	40634	0	0
SAIDA_8_2M46_53C.csv	6817.77	25.00	203.67	80572	1	40861.9	0	0
SAIDA_5_2M46_53C.csv	5791.71	24.00	263.10	102932	1	40824.7	0	0
SAIDA_4_2M46_65C.csv	6497.20	22.00	195.86	78990	1	39248.3	0	0
SAIDA_9_2M46_53C.csv	6607.60	25.00	202.38	79238	1	40989.1	0	0
SAIDA_4_2M46_95C.csv	7491.50	15.00	175.24	75364	1	38417.8	0	0
SAIDA_10_2M46_110C.csv	6000.79	12.00	187.21	75987	1	39808.2	0	0
SAIDA_5_2M46_95C.csv	7005.80	15.00	170.55	74849	1	36748.2	0	0
SAIDA_7_2M46_53C.csv	6004.74	26.00	191.38	74136	1	41044.2	0	0
SAIDA_2_2M46_53C.csv	6276.83	26.00	194.63	70525	1	44460.8	0	0
SAIDA_1_2M46_95C.csv	6344.63	15.00	174.58	69314	1	40110.9	0	0
SAIDA_8_2M46_80C.csv	6135.06	18.00	191.08	73343	1	41608.4	0	0
SAIDA_6_2M46_53C.csv	5552.24	24.00	204.03	78585	1	41675	0	0
SAIDA_5_2M46_80C.csv	7377.45	19.00	189.48	72122	1	41937.4	0	0
SAIDA_2_2M46_95C.csv	6712.75	15.00	199.56	74234	1	42442.4	0	0
SAIDA_9_2M46_95C.csv	7448.37	14.00	194.63	74970	1	40955.2	0	0
SAIDA_2_2M46_110C.csv	6330.57	12.00	208.40	79031	1	42638.4	0	0
SAIDA_3_2M46_95C.csv	6595.44	15.00	186.03	73321	1	40706.8	0	0
SAIDA_1_2M46_53C.csv	6716.72	25.00	203.13	79806	1	40966.9	0	0
SAIDA_6_2M46_95C.csv	7131.36	13.00	221.82	91361	1	39024.3	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_9_2M46_65C.csv	6519.96	22.00	192.96	73099	1	42069.1	0	0
SAIDA_7_2M46_110C.csv	6466.48	11.00	198.71	78200	1	40546.6	0	0
SAIDA_2_2M46_65C.csv	7616.87	20.00	193.18	76760	1	40453.1	0	0
SAIDA_8_2M46_65C.csv	5465.98	21.00	167.80	74189	1	35613.1	0	0
SAIDA_6_2M46_65C.csv	5849.60	22.00	196.64	74070	1	41941	0	0
SAIDA_3_2M46_110C.csv	6923.35	11.00	209.52	86137	1	38540.2	0	0
SAIDA_8_2M46_110C.csv	5757.70	12.00	181.92	71974	1	40096.5	0	0
