,Dang et al. (2021),,,SSGA - 95000 iterações 2swap,,,,,,GAP,TEMPO - GAP,Tempo convertido SSGA,Gap tempo novo,SSGA - 95000 iterações SEM BUSCAS LOCAIS,,,,,,GAP,Tempo convertido SSGA,GAP
DIMENSÃO,MÉDIA,DESVPAD,TEMPO,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,,,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,
0.24,"2,50","1,08","94,81","4,50","3,00","6,00","1,08","56,96","70.341,40","80,00%","-39,93%","108,22","14,14%","4,00","3,00","6,00","1,05","4,37","109.611,20","60,00%","8,30","-91,24%"
0.37,"7,10","0,88","113,42","8,20","7,00","10,00","0,79","64,79","64.913,10","15,49%","-42,88%","123,09","8,53%","7,20","6,00","8,00","0,79","5,72","117.779,40","1,41%","10,87","-90,42%"
0.50,"10,10","0,32","101,68","10,60","9,00","12,00","0,84","87,22","67.585,50","4,95%","-14,22%","165,72","62,99%","10,60","9,00","12,00","0,84","6,17","109.599,40","4,95%","11,72","-88,47%"
0.63,"13,50","0,53","83,65","13,82","13,00","15,00","0,61","110,46","72.032,00","2,35%","32,05%","209,88","150,90%","13,82","13,00","15,00","0,77","7,15","117.406,40","2,37%","13,59","-83,76%"
0.76,"18,20","0,42","61,14","17,90","16,00","19,00","0,88","113,90","66.848,90","-1,65%","86,29%","216,40","253,95%","18,00","17,00","19,00","0,67","8,16","111.873,30","-1,10%","15,50","-74,64%"
53,"15,10","0,32","266,34","15,90","15,00","17,00","0,57","81,60","66.016,20","5,30%","-69,36%","155,04","-41,79%","15,80","15,00","16,00","0,42","6,20","110.855,20","4,64%","11,78","-95,58%"
65,"12,80","0,42","158,64","13,50","13,00","14,00","0,53","84,41","67.672,40","5,47%","-46,79%","160,38","1,10%","12,80","12,00","14,00","0,79","6,75","116.689,00","0,00%","12,83","-91,92%"
80,"10,10","0,32","101,68","9,90","9,00","10,00","0,32","86,14","66.609,00","-1,98%","-15,28%","163,67","60,96%","10,40","10,00","11,00","0,52","6,08","111.343,10","2,97%","11,55","-88,64%"
95,"7,40","0,52","93,58","8,10","7,00","9,00","0,57","81,94","65.267,70","9,46%","-12,44%","155,69","66,37%","7,40","7,00","9,00","0,70","6,08","113.624,70","0,00%","11,55","-87,66%"
110,"5,00","0,00","47,38","5,80","4,00","7,00","1,03","82,82","66.249,60","16,00%","74,80%","157,36","232,12%","5,70","5,00","7,00","0,67","6,28","111.139,90","14,00%","11,93","-74,82%"
-2,"10,80","0,92","163,71","12,60","9,00","17,02","2,37","83,90","66.303,50","16,67%","-48,75%","159,41","-2,63%","12,40","10,00","15,00","1,51","6,90","122.165,00","14,81%","13,11","-91,99%"
-1,"10,00","0,47","132,82","10,30","9,00","12,00","0,82","89,58","73.472,60","3,00%","-32,56%","170,20","28,14%","10,30","9,00","11,00","0,67","6,28","113.630,30","3,00%","11,93","-91,02%"
0,"10,10","0,32","101,68","10,70","9,00","13,00","1,16","80,80","64.799,20","5,94%","-20,54%","153,52","50,98%","10,20","9,00","11,00","0,63","6,38","114.601,80","0,99%","12,12","-88,08%"
1,"10,30","0,48","124,20","10,40","10,00","11,00","0,52","81,09","64.774,10","0,97%","-34,71%","154,07","24,05%","10,10","9,00","11,00","0,74","6,40","115.594,80","-1,94%","12,16","-90,21%"
2,"10,40","0,52","102,02","10,50","9,00","11,00","0,71","78,69","64.994,50","0,96%","-22,87%","149,51","46,55%","10,40","10,00","12,00","0,70","5,93","109.042,10","0,00%","11,27","-88,96%"
,,"0,50","116,45",,,,"0,85","84,29","67.191,98","10,86%","-13,81%",,"63,76%",,,,"0,77","6,32","113.663,71","7,07%","12,01","-87,83%"
