,Dang et al. (2021),,,SSGA,,,,,,GAP,TEMPO - GAP,Tempo convertido SSGA,Gap tempo novo,SSGA - 95000 iterações SEM BUSCAS LOCAIS,,,,,,GAP,Tempo convertido SSGA,GAP convertido,
DIMENSÃO,MÉDIA,DESVPAD,TEMPO,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,,,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,,
0.24,"6,30","1,06","230,03","7,20","6,00","8,00","0,79","127,20","78.456,50","14,29%","-44,70%","241,68","5,06%","7,70","6,00","9,00","0,95","8,03","134.294,30","22,22%","15,26","-93,37%","3,00"
0.37,"13,90","0,99","287,20","12,60","11,00","14,00","0,84","180,38","85.231,00","-9,35%","-37,19%","342,72","19,33%","13,48","12,00","15,00","1,17","7,17","131.888,10","-3,02%","13,62","-95,26%",
0.50,"17,10","0,32","272,03","17,30","16,00","20,00","1,16","202,01","77.973,00","1,17%","-25,74%","383,81","41,09%","17,90","17,00","19,00","0,88","7,93","125.000,80","4,68%","15,07","-94,46%",
0.63,"20,90","0,88","278,73","20,60","19,00","23,00","1,07","230,42","78.321,30","-1,44%","-17,33%","437,80","57,07%","20,40","19,00","23,00","1,17","9,73","129.284,50","-2,39%","18,49","-93,37%",
0.76,"23,40","0,97","221,00","23,90","22,00","26,00","1,37","265,78","78.366,20","2,14%","20,26%","504,99","128,50%","26,48","22,00","45,82","6,96","10,10","123.307,70","13,16%","19,19","-91,32%",
53,"23,90","0,57","380,40","25,20","23,00","27,00","1,32","204,54","78.902,10","5,44%","-46,23%","388,63","2,16%","24,40","23,00","25,00","0,70","10,34","124.049,00","2,09%","19,65","-94,84%",
65,"20,40","0,70","429,15","20,90","20,00","22,00","0,88","191,59","76.008,00","2,45%","-55,36%","364,02","-15,18%","21,90","20,00","24,00","1,10","8,31","131.309,30","7,35%","15,79","-96,32%",
80,"17,10","0,32","272,03","17,30","15,00","19,00","1,16","194,11","76.407,20","1,17%","-28,64%","368,81","35,58%","17,90","16,00","20,00","1,37","8,29","132.049,20","4,68%","15,75","-94,21%",
95,"14,40","0,70","214,51","14,30","13,00","15,00","0,82","192,59","77.156,10","-0,69%","-10,22%","365,92","70,58%","14,10","13,00","16,00","0,99","7,65","121.957,90","-2,08%","14,54","-93,22%",
110,"11,00","0,47","169,71","11,60","11,00","12,00","0,52","191,58","75.727,50","5,45%","12,89%","364,00","114,48%","12,10","11,00","14,00","1,10","8,23","130.963,20","10,00%","15,64","-90,79%",
-2,"20,07","1,75","452,07","21,73","20,65","23,65","0,99","202,43","80.159,10","8,27%","-55,22%","384,62","-14,92%","21,83","18,00","25,65","2,28","11,29","136.327,90","8,77%","21,45","-95,25%",
-1,"17,00","0,94","280,53","17,40","16,00","19,00","0,97","202,38","79.004,90","2,35%","-27,86%","384,52","37,07%","17,40","16,00","18,00","0,70","7,86","122.568,20","2,35%","14,93","-94,68%",
0,"17,10","0,32","272,03","17,10","16,00","18,00","0,88","195,83","80.531,30","0,00%","-28,01%","372,08","36,78%","19,78","16,00","39,82","7,11","8,06","128.855,00","15,67%","15,31","-94,37%",
1,"17,30","1,16","251,68","17,10","17,00","18,00","0,32","199,50","79.157,20","-1,16%","-20,73%","379,05","50,61%","18,30","17,00","20,00","0,95","7,47","120.983,00","5,78%","14,19","-94,36%",
2,"17,00","0,47","280,53","16,90","16,00","18,00","0,74","196,43","78.410,80","-0,59%","-29,98%","373,22","33,04%","17,70","17,00","19,00","0,67","7,82","120.079,80","4,12%","14,86","-94,70%",
,,"0,77","286,11",,,,"0,92","198,45","78.654,15","1,97%","-26,27%","377,06","40,08%",,,,"1,87","8,55","127.527,86","6,23%","16,25","-94,03%",
