,Dang et al. (2021),,,SSGA,,,,,,GAP,TEMPO - GAP,Tempo convertido SSGA,Gap tempo novo,
DIMENSÃO,MÉDIA,DESVPAD,TEMPO,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,,,
0.26,"38,10","1,20","2.223,20","27,30","22,00","32,00","3,09","515,62","1.399.355,60","-28,35%","-76,81%","979,68","-55,93%","15,00"
0.38,"54,50","2,12","3.015,74","44,50","39,00","52,00","3,89","680,28","1.254.589,80","-18,35%","-77,44%","1.292,53","-57,14%",
0.50,"59,50","2,17","2.941,53","53,40","50,00","55,00","1,65","667,20","1.190.321,30","-10,25%","-77,32%","1.267,68","-56,90%",
0.63,"74,10","2,51","2.922,07","67,50","65,00","71,00","2,12","1.030,34","1.028.426,10","-8,91%","-64,74%","1.957,65","-33,00%",
0.75,"83,50","2,07","2.477,92","77,90","74,00","82,00","2,23","1.217,43","1.111.021,20","-6,71%","-50,87%","2.313,12","-6,65%",
53,"78,90","1,79","1.938,89","69,60","68,00","73,00","1,65","1.071,93","1.283.248,20","-11,79%","-44,71%","2.036,67","5,04%",
65,"69,00","2,54","2.777,87","62,50","58,00","70,00","4,01","887,73","1.178.214,10","-9,42%","-68,04%","1.686,69","-39,28%",
80,"59,50","2,17","2.941,53","53,90","51,00","58,00","2,38","908,97","1.186.833,20","-9,41%","-69,10%","1.727,04","-41,29%",
95,"54,00","1,25","2.540,28","46,50","43,00","51,00","2,72","979,27","1.183.854,50","-13,89%","-61,45%","1.860,61","-26,76%",
110,"46,50","1,84","2.603,03","41,90","38,00","53,00","4,65","936,00","1.095.643,10","-9,89%","-64,04%","1.778,40","-31,68%",
-14,"110,89","7,11","3.535,75","87,53","82,19","94,19","3,44","1.246,60","1.614.835,50","-21,07%","-64,74%","2.368,54","-33,01%",
-7,"69,50","1,96","2.771,41","56,50","52,00","62,00","2,80","1.086,85","1.386.831,00","-18,71%","-60,78%","2.065,02","-25,49%",
0,"59,50","2,17","2.941,53","52,60","49,00","56,00","1,90","982,47","1.176.673,80","-11,60%","-66,60%","1.866,69","-36,54%",
7,"62,90","2,02","3.591,52","52,10","48,00","54,00","1,85","898,81","1.088.110,90","-17,17%","-74,97%","1.707,74","-52,45%",
14,"65,00","3,30","2.956,90","52,40","49,00","56,00","2,22","808,21","1.070.226,00","-19,38%","-72,67%","1.535,60","-48,07%",
,,"2,41","2.811,94",,,,"2,71","927,85","1.216.545,62","-14,33%","-66,29%","1.762,91","-35,94%",
